filing_id,form_type,filer_committee_id_number,committee_name,election_state,election_district,report_code,col_a_total_individual_contributions,col_a_pac_contributions,col_a_candidate_contributions,col_a_candidate_loans,col_a_total_receipts,col_b_total_receipts,col_a_total_disbursements,col_a_cash_on_hand_close
1388079,F3N,C00721704,Kinzler for Congress,IL,06,12P,15981.00,500.00,0.00,0.00,16481.00,167384.00,70740.11,91275.73
1392792,F3N,C00472365,"YODER FOR CONGRESS, INC",KS,03,Q1,0.00,0.00,0.00,0.00,0.00,13394.77,2157.53,90457.99
1384213,F3N,C00633982,Harley Rouda for Congress,CA,48,12P,229638.46,15000.00,0.00,0.00,244638.46,2631424.70,87482.06,1885230.87
1377697,F3A,C00637868,Colin Allred for Congress,TX,32,Q1,445424.09,82500.00,0.00,0.00,530399.22,679444.18,106816.63,527027.62
1388099,F3N,C00713743,Friends of Desiree Tims,OH,10,12P,34800.69,13000.00,0.00,0.00,47841.05,184391.72,55132.75,53814.92
1383712,F3N,C00649392,Greg Sagan for Congress,TX,13,12P,741.00,0.00,0.00,0.00,741.00,741.00,642.75,1006.08
1388109,F3N,C00652719,Lauren Underwood For Congress,IL,14,12P,452358.54,51401.00,0.00,0.00,510759.54,3147666.11,193475.31,1998712.53
1392820,F3A,C00711580,Rezin for Congress,IL,14,12P,37433.00,8500.00,0.00,0.00,46133.00,508729.19,290668.52,84853.66
1384273,F3N,C00648956,TJ Cox for Congress,CA,21,12P,115403.70,11264.00,0.00,0.00,126733.07,1843535.12,151834.53,861953.23
1388112,F3N,C00716498,ESTHER FOR CONGRESS,IL,17,12P,95079.58,13500.00,0.00,0.00,108835.64,365296.61,180070.60,112179.27
1388121,F3N,C00723767,Evans for Congress,IL,14,12P,9554.00,0.00,0.00,0.00,9554.00,54996.00,19670.65,8178.06
1384300,F3N,C00730531,Texans for Ronny Jackson,TX,13,12P,142300.00,10500.00,650.00,0.00,153450.00,183856.00,69148.44,110796.45
1384309,F3N,C00652297,Gina Ortiz Jones for Congress,TX,23,12P,168549.03,22000.00,0.00,0.00,203504.23,2870498.34,222989.80,2008701.64
1383731,F3N,C00306704,"Friends of Sessions Senate Committee, Inc",AL,00,12P,386391.80,60500.00,0.00,0.00,460303.45,997706.25,1104634.71,1898642.98
1384320,F3N,C00662668,Mike Siegel for Congress,TX,10,12P,74135.18,1750.00,0.00,0.00,75885.18,539813.58,76109.93,151335.86
1388134,F3N,C00301838,Steve Chabot for Congress,OH,01,12P,94720.66,60000.00,0.00,0.00,166889.99,1684198.21,65050.21,800477.14
1388135,F3N,C00716597,Catalina for Congress Committee,IL,14,12P,79535.19,2800.00,0.00,0.00,82335.19,231841.19,80600.49,33435.57
1388137,F3N,C00521948,RODNEY FOR CONGRESS,IL,13,12P,132586.19,182200.00,0.00,0.00,327697.40,2216616.34,148041.08,1255819.44
1388139,F3N,C00498568,Friends of Cheri Bustos,IL,17,12P,166695.64,157450.00,0.00,0.00,333967.01,2425282.88,140716.96,3195795.36
1384341,F3N,C00650648,Cisneros for Congress,CA,39,12P,76631.96,13750.00,0.00,0.00,90381.96,1635450.47,97876.53,842753.93
1388148,F3N,C00703736,GRADEL FOR CONGRESS,IL,14,12P,34445.00,0.00,0.00,0.00,34445.00,872853.71,263857.31,419714.61
1388152,F3N,C00373001,Citizens for Turner,OH,10,12P,51209.88,33000.00,0.00,0.00,84209.89,883562.89,50748.72,557955.69
1388163,F3N,C00711580,Rezin for Congress,IL,14,12P,37433.00,8500.00,0.00,0.00,46133.00,508729.19,290668.52,84853.66
1393125,F3N,C00731232,FRIENDS OF MATTHEW HOOK AND THE FUTURE,IN,05,Q1,5640.69,0.00,21.38,1000.00,6662.07,17272.07,11062.67,5524.69
