filing_id,form_type,filer_committee_id_number,committee_name,election_state,election_district,report_code,col_a_total_individual_contributions,col_a_pac_contributions,col_a_candidate_contributions,col_a_candidate_loans,col_a_total_receipts,col_b_total_receipts,col_a_total_disbursements,col_a_cash_on_hand_close
1395760,F3N,C00714832,Michelle Ferrigno Warren for US Senate,CO,,Q1,41770.76,0.00,300.00,0.00,42070.76,102957.74,37658.52,22145.11
1395791,F3N,C00693630,Covert for Congress,SC,01,Q1,6296.20,0.00,0.00,0.00,6296.20,175806.37,23488.60,10081.56
1395797,F3N,C00657361,Marter for Congress,IL,14,Q1,3629.00,0.00,0.00,8271.86,12000.86,71155.39,18191.19,427.90
1395817,F3N,C00715474,Juan Fiol For Congress,FL,27,Q1,1875.00,0.00,0.00,0.00,1875.00,1875.00,584.82,1290.18
1395819,F3N,C00730010,Daniel Beckstrand for Congress,UT,04,Q1,1456.43,0.00,0.00,0.00,1456.43,6661.98,1885.10,4227.53
1395848,F3N,C00664862,JAYESUN SHERMAN FOR US CONGRESS FINANCE,MN,07,Q1,145.00,0.00,0.00,0.00,145.00,7265.38,583.99,4273.05
1391966,F3A,C00680488,"Friends of Denver Riggleman, Inc.",VA,05,Q1,54360.80,80500.00,0.00,10000.00,231073.61,265062.48,101506.36,140444.61
1380491,F3A,C00371203,John Carter for Congress,TX,31,Q1,182385.00,103500.00,0.00,0.00,369677.27,369977.27,150659.78,473722.46
1392122,F3A,C00635888,Ammar Campa-Najjar for Congress,CA,50,12P,194870.76,4000.00,0.00,0.00,200312.82,1993926.41,454672.54,704428.72
1371459,F3A,C00012229,Alaskans for Don Young,AK,01,Q1,55392.27,58500.00,0.00,0.00,186229.32,186235.09,48528.63,254420.81
1385471,F3A,C00666453,Nate McMurray for Congress,NY,27,Q1,39532.58,0.00,250.00,0.00,39991.17,39991.17,3621.80,36369.37
1392246,F3N,C00735787,HARRY SOUTHERLAND FOR CONGRESS,NC,09,Q1,7000.00,0.00,0.00,9151.00,16151.00,24914.21,18310.06,0.00
